index,Movie ID,Movie,Release Date,ARR,prod_budget_bucket
4087,tt2295722,Falcon Rising,2014,0.0026164444444444442,b1
4088,tt2081194,Hansel & Gretel Get Baked,2013,0.0,b1
4088,tt2081194,Hansel & Gretel Get Baked,2013,0.0,b1
4089,tt3683702,Fugly,2014,0.0,b1
4089,tt3683702,Fugly,2014,0.0,b1
4090,tt3346224,Zipper,2015,0.0,b1
4090,tt3346224,Zipper,2015,0.0,b1
4091,tt2118624,The Final Girls,2015,0.0,b1
4091,tt2118624,The Final Girls,2015,0.0,b1
4092,tt3702088,Daisy Winters,2017,0.0,b1
4095,tt1715336,Anna,2014,0.2753952897766613,b1
4095,tt1715336,Anna,2014,0.2753952897766613,b1
4095,tt1715336,Anna,2014,0.2753952897766613,b1
4101,tt1313092,Animal Kingdom,2010,1.9234959523809523,b1
4101,tt1313092,Animal Kingdom,2010,1.9234959523809523,b1
4103,tt1507261,Cargo,2011,0.07457857142857142,b1
4108,tt3181822,The Boy Next Door,2015,13.3504845,b1
4108,tt3181822,The Boy Next Door,2015,13.3504845,b1
4111,tt1065073,Boyhood,2014,14.31826225,b1
4112,tt0842926,The Kids Are All Right,2010,9.06886725,b1
4112,tt0842926,The Kids Are All Right,2010,9.06886725,b1
4112,tt0842926,The Kids Are All Right,2010,9.06886725,b1
4113,tt2828996,A Haunted House 2,2014,5.30171525,b1
4114,tt2034139,The Last Exorcism Part II,2013,6.36217675,b1
4114,tt2034139,The Last Exorcism Part II,2013,6.36217675,b1
4114,tt2034139,The Last Exorcism Part II,2013,6.36217675,b1
4115,tt1691149,Saving Grace,2000,6.94671225,b1
4115,tt1691149,Saving Grace,2000,6.94671225,b1
4115,tt1691149,Saving Grace,2000,6.94671225,b1
4117,tt1878841,The Darkness,2016,2.72457325,b1
4117,tt1878841,The Darkness,2016,2.72457325,b1
4119,tt2025702,The Wash,2001,2.524274,b1
4121,tt1883160,The Visitor,2008,4.79370425,b1
4121,tt1883160,The Visitor,2008,4.79370425,b1
4126,tt3749926,Bug,2007,2.07574875,b1
4126,tt3749926,Bug,2007,2.07574875,b1
4126,tt3749926,Bug,2007,2.07574875,b1
4134,tt0770802,Samsara,2012,1.49166775,b1
4136,tt1645080,The Art of Getting By,2011,0.49725875,b1
4136,tt1645080,The Art of Getting By,2011,0.49725875,b1
4138,tt0873886,Red State,2011,0.495899,b1
4138,tt0873886,Red State,2011,0.495899,b1
4138,tt0873886,Red State,2011,0.495899,b1
4140,tt2076220,Holy Motors,2012,1.0576065,b1
4141,tt2910814,The Signal,2014,0.6663305,b1
4141,tt2910814,The Signal,2014,0.6663305,b1
4141,tt2910814,The Signal,2014,0.6663305,b1
4144,tt1839642,The Face of Love,2014,0.28971925,b1
4144,tt1839642,The Face of Love,2014,0.28971925,b1
4144,tt1839642,The Face of Love,2014,0.28971925,b1
