,index,Movie,Release Date,ARR,prod_budget_bucket,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,person_id,primary_name,birth_year,death_year,primary_profession
11146,661,Sucker Punch,2011,1.19677852,b4,tt0978764,Sucker Punch,Sucker Punch,2011,110.0,"Action,Adventure,Fantasy",nm0811583,Zack Snyder,1966.0,,"producer,director,writer"
11152,662,Hostage,2005,1.035152573333333,b4,tt1772292,Hostage,Junction,2012,91.0,Thriller,nm3723066,Tony Glazer,,,"director,producer,writer"
11153,667,Soldier,1998,0.19497442666666667,b4,tt1826861,Soldier,Soldier,2010,90.0,Drama,nm1237789,Richard Gilliam,1992.0,,"writer,editor,director"
11154,668,Virus,1999,0.4083558666666667,b4,tt1777039,Virus,Virus,2010,30.0,"Documentary,Family",nm4099045,Neil Corbin,,,"director,writer,sound_department"
11155,672,Minions,2015,15.680218554054056,b4,tt2293640,Minions,Minions,2015,91.0,"Adventure,Animation,Comedy",nm1853544,Pierre Coffin,1967.0,,"actor,director,producer"
11156,672,Minions,2015,15.680218554054056,b4,tt2293640,Minions,Minions,2015,91.0,"Adventure,Animation,Comedy",nm0049633,Kyle Balda,1971.0,,"director,animation_department,visual_effects"
11161,673,The SpongeBob Movie: Sponge Out of Water,2015,4.202880824324326,b4,tt2279373,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92.0,"Adventure,Animation,Comedy",nm0593610,Mike Mitchell,,,"actor,director,writer"
11162,673,The SpongeBob Movie: Sponge Out of Water,2015,4.202880824324326,b4,tt2279373,The SpongeBob Movie: Sponge Out of Water,The SpongeBob Movie: Sponge Out of Water,2015,92.0,"Adventure,Animation,Comedy",nm1196684,Paul Tibbitt,1968.0,,"producer,writer,art_department"
11191,674,Unbreakable,2000,3.387337819889834,b4,tt4097114,Unbreakable,Unbreakable,2014,80.0,"Adventure,Biography,Documentary",nm3145173,Ross Whitaker,,,"director,producer,cinematographer"
11192,676,The Angry Birds Movie,2016,4.826409410958903,b4,tt1985949,The Angry Birds Movie,Angry Birds,2016,97.0,"Action,Animation,Comedy",nm0443505,Clay Kaytis,,,"animation_department,director,actor"
11193,676,The Angry Birds Movie,2016,4.826409410958903,b4,tt1985949,The Angry Birds Movie,Angry Birds,2016,97.0,"Action,Animation,Comedy",nm0717678,Fergal Reilly,,,"art_department,director,miscellaneous"
11216,677,Snake Eyes,1998,1.4231699863013698,b4,tt8404256,Snake Eyes,Snake Eyes,2020,,"Action,Adventure",nm0777881,Robert Schwentke,1968.0,,"director,writer,soundtrack"
11218,686,Driven,2001,0.758567625,b4,tt4131904,Driven,Driven,2014,27.0,"Documentary,Family",,,,,
11219,698,Ransom,1996,4.41,b4,tt8870574,Ransom,Ransom,2018,98.0,"Drama,Thriller",nm2644670,Mickey Fonseca,,,"producer,director,writer"
