index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
4036,93,2015,Let's Kill Ward's Wife,5000000,0,0,-5000000,0.0,tt2980708,Crime,b1
4039,96,2012,Should've Been Romeo,5000000,0,0,-5000000,0.0,tt1717210,Comedy,b1
4039,96,2012,Should've Been Romeo,5000000,0,0,-5000000,0.0,tt1717210,Drama,b1
4040,97,2015,Aztec Warrior,5000000,0,0,-5000000,0.0,tt2237914,Action,b1
4040,97,2015,Aztec Warrior,5000000,0,0,-5000000,0.0,tt2237914,Comedy,b1
4042,99,2016,The Hatching,5000000,0,0,-5000000,0.0,tt2938464,Action,b1
4042,99,2016,The Hatching,5000000,0,0,-5000000,0.0,tt2938464,Comedy,b1
4044,1,2015,Mommy,4900000,3498695,17536004,12636004,3.5787763265306123,tt3612616,Drama,b1
4047,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,Horror,b1
4047,4,2012,The Awakening,4900000,95933,6924321,2024321,1.4131267346938776,tt1373405,Thriller,b1
4050,7,2006,Hostel,4800000,47326473,82241110,77441110,17.13356458333333,tt1825801,Action,b1
4050,7,2006,Hostel,4800000,47326473,82241110,77441110,17.13356458333333,tt1825801,Crime,b1
4050,7,2006,Hostel,4800000,47326473,82241110,77441110,17.13356458333333,tt1825801,Drama,b1
4051,8,2013,Only God Forgives,4800000,775849,4494560,-305440,0.9363666666666667,tt1602613,Crime,b1
4051,8,2013,Only God Forgives,4800000,775849,4494560,-305440,0.9363666666666667,tt1602613,Drama,b1
4052,9,2011,Take Shelter,4750000,1728953,4972016,222016,1.0467402105263157,tt1675192,Drama,b1
4052,9,2011,Take Shelter,4750000,1728953,4972016,222016,1.0467402105263157,tt1675192,Horror,b1
4052,9,2011,Take Shelter,4750000,1728953,4972016,222016,1.0467402105263157,tt1675192,Thriller,b1
4055,14,2011,Without Men,4700000,0,0,-4700000,0.0,tt1547090,Comedy,b1
4056,15,2015,Treading Water,4700000,0,0,-4700000,0.0,tt2091427,Comedy,b1
4056,15,2015,Treading Water,4700000,0,0,-4700000,0.0,tt2091427,Drama,b1
4058,18,2012,Barfi,4600000,2804874,36751984,32151984,7.989561739130435,tt3099638,Comedy,b1
4058,18,2012,Barfi,4600000,2804874,36751984,32151984,7.989561739130435,tt3099638,Romance,b1
4063,23,2007,Out of the Blue,4600000,728,731767,-3868233,0.15907978260869565,tt2751576,Comedy,b1
4063,23,2007,Out of the Blue,4600000,728,731767,-3868233,0.15907978260869565,tt2751576,Drama,b1
4065,28,1996,Secrets & Lies,4500000,13417292,13417292,8917292,2.9816204444444443,tt7895868,Drama,b1
4065,28,1996,Secrets & Lies,4500000,13417292,13417292,8917292,2.9816204444444443,tt7895868,Romance,b1
4067,32,2016,The Lobster,4500000,9196278,18019834,13519834,4.004407555555556,tt3464902,Comedy,b1
4067,32,2016,The Lobster,4500000,9196278,18019834,13519834,4.004407555555556,tt3464902,Drama,b1
4067,32,2016,The Lobster,4500000,9196278,18019834,13519834,4.004407555555556,tt3464902,Romance,b1
4068,33,1996,Bound,4500000,3802260,7011317,2511317,1.5580704444444444,tt10457702,Action,b1
4068,33,1996,Bound,4500000,3802260,7011317,2511317,1.5580704444444444,tt10457702,Drama,b1
4077,44,2010,Life During Wartime,4500000,281447,281447,-4218553,0.06254377777777778,tt4074762,Documentary,b1
4079,46,2011,Blackthorn,4500000,200558,1217307,-3282693,0.2705126666666667,tt1629705,Action,b1
4080,47,2015,Maggie,4500000,187112,1027760,-3472240,0.2283911111111111,tt1881002,Drama,b1
4080,47,2015,Maggie,4500000,187112,1027760,-3472240,0.2283911111111111,tt1881002,Horror,b1
4086,53,2013,The Sweeney,4500000,26345,8000366,3500366,1.777859111111111,tt0857190,Action,b1
4086,53,2013,The Sweeney,4500000,26345,8000366,3500366,1.777859111111111,tt0857190,Crime,b1
4086,53,2013,The Sweeney,4500000,26345,8000366,3500366,1.777859111111111,tt0857190,Drama,b1
4087,54,2014,Falcon Rising,4500000,11774,11774,-4488226,0.0026164444444444442,tt2295722,Action,b1
4088,55,2013,Hansel & Gretel Get Baked,4500000,0,0,-4500000,0.0,tt2081194,Comedy,b1
4088,55,2013,Hansel & Gretel Get Baked,4500000,0,0,-4500000,0.0,tt2081194,Horror,b1
4089,56,2014,Fugly,4500000,0,0,-4500000,0.0,tt3683702,Drama,b1
4089,56,2014,Fugly,4500000,0,0,-4500000,0.0,tt3683702,Thriller,b1
4090,57,2015,Zipper,4500000,0,0,-4500000,0.0,tt3346224,Drama,b1
4090,57,2015,Zipper,4500000,0,0,-4500000,0.0,tt3346224,Thriller,b1
4091,58,2015,The Final Girls,4500000,0,0,-4500000,0.0,tt2118624,Comedy,b1
4091,58,2015,The Final Girls,4500000,0,0,-4500000,0.0,tt2118624,Drama,b1
4092,59,2017,Daisy Winters,4500000,0,0,-4500000,0.0,tt3702088,Drama,b1
4095,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,Drama,b1
